,Unnamed: 0,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,michelin_star_count,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment Count,Unemployment Rate
54,65,Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,California,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1,ZCTA5 90210,19314,49.2,147270,117825,1150,435,2.252252252
55,14,Urasawa,2019,34.067352,-118.40067,Los Angeles,California,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa,2,ZCTA5 90210,19314,49.2,147270,117825,1150,435,2.252252252
56,66,Shunji,2019,34.028496,-118.45195,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1,ZCTA5 90064,25925,40.3,102117,71214,2422,472,1.820636451
57,68,Mori Sushi,2019,34.033398,-118.44229,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1,ZCTA5 90064,25925,40.3,102117,71214,2422,472,1.820636451
58,69,Trois Mec,2019,34.084255,-118.33851,Los Angeles,California,90028,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1,ZCTA5 90028,29774,36.3,45499,39513,6192,1665,5.592127359
59,70,Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,California,90028,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1,ZCTA5 90028,29774,36.3,45499,39513,6192,1665,5.592127359
60,71,Kali,2019,34.083443,-118.32455,Los Angeles,California,90028,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1,ZCTA5 90028,29774,36.3,45499,39513,6192,1665,5.592127359
61,17,Providence,2019,34.083523,-118.33019,Los Angeles,California,90028,Seafood,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,2,ZCTA5 90028,29774,36.3,45499,39513,6192,1665,5.592127359
62,72,Le Comptoir,2019,34.06354,-118.30057,Los Angeles,California,90020,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1,ZCTA5 90020,39189,34.4,49068,33220,6027,1118,2.852841359
63,73,Q Sushi,2019,34.046883,-118.255844,Los Angeles,California,90017,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1,ZCTA5 90017,27723,31.7,35605,27359,9920,874,3.152616961
64,74,Shibumi,2019,34.044155,-118.256134,Los Angeles,California,90014,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1,ZCTA5 90014,8688,41.7,40641,46007,3294,408,4.696132597
65,75,Hayato,2019,34.03311,-118.24265,Los Angeles,California,90001,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1,ZCTA5 90001,59832,29.1,43360,13727,15255,2351,3.929335473
66,76,Bistro Na's,2019,34.104412,-118.07159,Los Angeles,California,91780,Chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1,ZCTA5 91780,35133,42.7,75672,31958,3593,586,1.667947514
67,77,Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,California,90013,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1,ZCTA5 90013,12559,43.3,22316,41048,5695,640,5.09594713
68,78,Taco María,2019,33.69475,-117.924965,Costa Mesa,California,92626,Mexican,$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1,ZCTA5 92626,50605,35.3,88398,44114,4454,1136,2.244837467
69,79,Hana re,2019,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1,ZCTA5 92626,50605,35.3,88398,44114,4454,1136,2.244837467
70,80,Addison,2019,32.939903,-117.20013,San Diego,California,92130,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1,ZCTA5 92130,56134,39,155452,71263,2964,1384,2.465528913
71,81,Parachute,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1,ZCTA5 60618,94907,34.4,78704,43819,9748,2002,2.109433445
72,84,EL Ideas,2019,41.863,-87.68686,Chicago,Chicago,60618,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1,ZCTA5 60618,94907,34.4,78704,43819,9748,2002,2.109433445
73,82,Goosefoot,2019,41.96856,-87.69596,Chicago,Chicago,60625,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1,ZCTA5 60625,79444,34.9,68770,36668,10382,2343,2.949247269
74,83,Elizabeth,2019,41.969555,-87.688736,Chicago,Chicago,60625,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1,ZCTA5 60625,79444,34.9,68770,36668,10382,2343,2.949247269
75,85,Band of Bohemia,2019,41.967308,-87.67477,Chicago,Chicago,60640,Gastropub,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1,ZCTA5 60640,69363,36.8,57221,43450,12879,1852,2.670011389
76,88,Entente,2019,41.93721,-87.6652,Chicago,Chicago,60657,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1,ZCTA5 60657,70958,31.2,95173,76546,5294,1566,2.206939316
77,89,Elske,2019,41.884426,-87.66071,Chicago,Chicago,60607,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1,ZCTA5 60607,29293,30.2,102726,61178,5417,1243,4.243334585
78,91,Roister,2019,41.886658,-87.65187,Chicago,Chicago,60607,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1,ZCTA5 60607,29293,30.2,102726,61178,5417,1243,4.243334585
79,20,Smyth,2019,41.885,-87.660736,Chicago,Chicago,60607,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/smyth,2,ZCTA5 60607,29293,30.2,102726,61178,5417,1243,4.243334585
80,90,Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,Chicago,60608,Gastropub,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1,ZCTA5 60608,80059,32.6,50133,23525,13468,2629,3.283828177
