,Unnamed: 0,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,michelin_star_count,one_or_more_stars
221,221,Bouley at Home,2019,40.74114,-73.99242,New York,New York City,No Zip,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bouley-at-home,1,1
222,222,Gotham Bar and Grill,2019,40.73417,-73.99379,New York,New York City,10003,American,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gotham-bar-and-grill,1,1
223,223,Nix,2019,40.733166,-73.993515,New York,New York City,10003,Vegetarian,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nix,1,1
224,224,Junoon,2019,40.74325,-73.99077,New York,New York City,10010,Indian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/junoon,1,1
225,225,NoMad,2019,40.74497,-73.98883,New York,New York City,10001,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nomad,1,1
226,226,The Musket Room,2019,40.723915,-73.99375,New York,New York City,10012,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-musket-room,1,1
227,227,Uncle Boons,2019,40.721203,-73.99441,New York,New York City,10012,Thai,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/uncle-boons,1,1
228,228,Noda,2019,40.74497,-73.988075,New York,New York City,No Zip,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/noda,1,1
229,229,Gramercy Tavern,2019,40.73849,-73.98868,New York,New York City,10003,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gramercy-tavern,1,1
230,230,The Clocktower,2019,40.7414,-73.987595,New York,New York City,10010,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-clocktower,1,1
231,231,Ai Fiori,2019,40.75013,-73.98357,New York,New York City,10018,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ai-fiori,1,1
232,232,Casa Mono,2019,40.73595,-73.98706,New York,New York City,10003,Spanish,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-mono,1,1
